,ID,Name,Age,Nationality,Overall,Potential,Club,Contract,Value,Wage,Total stat
0,236988,Eddie Nketiah,22,England,72,79,Arsenal,2016 ~ 2022,€4.8M,€45K,1698
1,225863,Olivier Boscagli,23,France,77,82,PSV,2019 ~ 2025,€14.5M,€15K,1961
2,241721,Rafael da Conceição Leão,22,Portugal,82,90,AC Milan,2019 ~ 2024,€68.5M,€52K,1959
3,224371,Jarrod Bowen,24,England,79,82,West Ham United,2020 ~ 2025,€24M,€63K,1966
4,200104,Heung Min Son,28,Korea Republic,89,89,Tottenham Hotspur,2015 ~ 2025,€104M,€240K,2141
5,238041,Tyrell Malacia,21,Netherlands,78,83,Feyenoord,2015 ~ 2024,€20M,€9K,1955
6,232580,Gabriel dos S. Magalhães,23,Brazil,81,87,Arsenal,2020 ~ 2025,€37M,€74K,1730
7,241637,Aurélien Tchouaméni,21,France,81,88,AS Monaco,2020 ~ 2024,€52M,€46K,2141
8,264240,Pablo Martín Páez Gavira,16,Spain,77,89,FC Barcelona,2020 ~ 2023,€24M,€14K,1970
9,253072,Darwin Núñez,22,Uruguay,78,86,SL Benfica,2020 ~ 2026,€32M,€15K,1987
10,228295,Rob Holding,25,England,77,79,Arsenal,2016 ~ 2024,€11.5M,€62K,1705
11,234378,Declan Rice,22,England,83,88,West Ham United,2016 ~ 2024,€51M,€76K,2072
12,247394,Dejan Kulusevski,21,Sweden,80,86,Tottenham Hotspur,"Jun 30, 2022 On Loan",€34M,€67K,2076
13,240833,Youssoufa Moukoko,16,Germany,69,89,Borussia Dortmund,2020 ~ 2022,€3.8M,€5K,1725
14,231943,Richarlison de Andrade,24,Brazil,81,86,Everton,2018 ~ 2024,€39.5M,€90K,2121
15,246430,Dušan Vlahović,21,Serbia,83,90,Juventus,2022 ~ 2026,€74.5M,€85K,1874
16,165153,Karim Benzema,33,France,91,91,Real Madrid CF,2009 ~ 2023,€84M,€450K,2145
17,247819,Nico Schlotterbeck,21,Germany,80,86,Sport-Club Freiburg,2019 ~ 2023,€31M,€23K,1839
18,242964,Anthony Gordon,20,England,72,83,Everton,2017 ~ 2025,€5M,€35K,1765
19,246104,Ryan Gravenberch,19,Netherlands,78,90,Ajax,2018 ~ 2023,€33M,€11K,2085
20,251805,Jurriën Timber,20,Netherlands,79,88,Ajax,2019 ~ 2024,€36M,€13K,1935
21,261360,Noah Mbamba,16,Belgium,64,88,Club Brugge KV,2021 ~ 2023,€1.7M,€500,1546
